127.0.0.1 - - [19/Apr/2017:09:05:21 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:05:23 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:05:46 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:05:48 +0530] "POST /OnlineInsuranceSystem/CustomerHome.jsp HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:07:03 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:07:07 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:23 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:23 +0530] "GET /OnlineInsuranceSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:33 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:36 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:36 +0530] "GET /OnlineInsuranceSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:36 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:42 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:43 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:09:51 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:10:21 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:10:23 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:10:48 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:10:50 +0530] "GET /OnlineInsuranceSystem/AgentLogin.jsp HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:12:10 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:12:12 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:12:14 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:13:25 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:13:27 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:13:31 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:14:09 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:14:09 +0530] "GET /OnlineInsuranceSystem/css/style.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:14:35 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:14:35 +0530] "GET /OnlineInsuranceSystem/css/style.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:14:39 +0530] "GET /OnlineInsuranceSystem/AgentLogin.jsp HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:16:56 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:16:58 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:17:01 +0530] "POST /OnlineInsuranceSystem/CustomerHome.jsp HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:17:10 +0530] "GET /OnlineInsuranceSystem/UserHome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:17:21 +0530] "GET /OnlineInsuranceSystem/AgentLogin.jsp HTTP/1.1" 200 3512
